POSTCODE,Remoteness_Code,Remoteness_Name,RATIO,PERCENTAGE
3302,22,Outer Regional Australia,1,100
3303,22,Outer Regional Australia,1,100
3304,22,Outer Regional Australia,1,100
3305,22,Outer Regional Australia,1,99.9999998
3309,22,Outer Regional Australia,1,100
3310,22,Outer Regional Australia,1,100
3311,22,Outer Regional Australia,1,100
3312,22,Outer Regional Australia,1,100
3314,22,Outer Regional Australia,1,100
3315,22,Outer Regional Australia,1,100
3317,22,Outer Regional Australia,1,100
3318,22,Outer Regional Australia,1,100
3319,22,Outer Regional Australia,1,100
3321,21,Inner Regional Australia,1,100
3328,21,Inner Regional Australia,1,100
3329,21,Inner Regional Australia,1,100
3330,21,Inner Regional Australia,1,100
3331,21,Inner Regional Australia,1,100
3332,21,Inner Regional Australia,1,100
3333,21,Inner Regional Australia,1,100
3334,21,Inner Regional Australia,1,100
3340,21,Inner Regional Australia,1,99.9999983
3341,21,Inner Regional Australia,1,100
3342,21,Inner Regional Australia,1,100
3345,21,Inner Regional Australia,1,100
3350,21,Inner Regional Australia,1,100
3355,21,Inner Regional Australia,1,100
3356,21,Inner Regional Australia,1,100
3357,21,Inner Regional Australia,1,100
3363,21,Inner Regional Australia,1,100
3364,21,Inner Regional Australia,1,100
3370,21,Inner Regional Australia,1,100
3371,21,Inner Regional Australia,1,100
3375,21,Inner Regional Australia,1,100
3378,21,Inner Regional Australia,1,100
3380,21,Inner Regional Australia,1,100
3384,22,Outer Regional Australia,1,100
3388,22,Outer Regional Australia,1,100
3390,22,Outer Regional Australia,1,100
3391,22,Outer Regional Australia,1,100
3392,22,Outer Regional Australia,1,100
3393,22,Outer Regional Australia,1,100
3396,23,Remote Australia,1,100
3400,22,Outer Regional Australia,1,100
3401,22,Outer Regional Australia,1,100
3407,22,Outer Regional Australia,1,100
3409,22,Outer Regional Australia,1,100
3412,22,Outer Regional Australia,1,100
3413,22,Outer Regional Australia,1,100
3414,22,Outer Regional Australia,1,100
3415,22,Outer Regional Australia,1,100
3418,22,Outer Regional Australia,1,100
3419,22,Outer Regional Australia,1,100
3423,22,Outer Regional Australia,1,100
3424,23,Remote Australia,1,100
3428,20,Major Cities of Australia,1,100
3430,21,Inner Regional Australia,1,100
3431,21,Inner Regional Australia,1,100
3432,21,Inner Regional Australia,1,100
3433,21,Inner Regional Australia,1,100
3434,21,Inner Regional Australia,1,100
3435,21,Inner Regional Australia,1,100
3437,21,Inner Regional Australia,1,100
3438,21,Inner Regional Australia,1,100
3440,21,Inner Regional Australia,1,100
3441,21,Inner Regional Australia,1,100
3442,21,Inner Regional Australia,1,100
3444,21,Inner Regional Australia,1,100
3446,21,Inner Regional Australia,1,100
3447,21,Inner Regional Australia,1,100
3448,21,Inner Regional Australia,1,100
3450,21,Inner Regional Australia,1,100
3451,21,Inner Regional Australia,1,100
3453,21,Inner Regional Australia,1,100
3458,21,Inner Regional Australia,1,100
3460,21,Inner Regional Australia,1,100
3461,21,Inner Regional Australia,1,100
3462,21,Inner Regional Australia,1,100
3463,21,Inner Regional Australia,1,100
3464,21,Inner Regional Australia,1,100
3467,21,Inner Regional Australia,1,100
3468,21,Inner Regional Australia,1,100
3480,22,Outer Regional Australia,1,100
3482,22,Outer Regional Australia,1,100
3483,22,Outer Regional Australia,1,100
3487,22,Outer Regional Australia,1,100
3488,22,Outer Regional Australia,1,100
3489,22,Outer Regional Australia,1,100
3491,22,Outer Regional Australia,1,100
3496,22,Outer Regional Australia,1,99.9999984
3498,22,Outer Regional Australia,1,100
3500,22,Outer Regional Australia,1,100
3506,23,Remote Australia,1,100
3507,22,Outer Regional Australia,1,100
3509,23,Remote Australia,1,100
3512,23,Remote Australia,1,100
3515,21,Inner Regional Australia,1,100
3516,21,Inner Regional Australia,1,100
3520,22,Outer Regional Australia,1,100
3521,21,Inner Regional Australia,1,100
3522,21,Inner Regional Australia,1,100
3523,21,Inner Regional Australia,1,100
3525,22,Outer Regional Australia,1,100
3527,22,Outer Regional Australia,1,100
3529,22,Outer Regional Australia,1,100
3530,22,Outer Regional Australia,1,100
3531,22,Outer Regional Australia,1,100
3533,22,Outer Regional Australia,1,100
3537,22,Outer Regional Australia,1,100
3540,22,Outer Regional Australia,1,100
3542,22,Outer Regional Australia,1,100
3544,22,Outer Regional Australia,1,100
3546,22,Outer Regional Australia,1,100
3550,21,Inner Regional Australia,1,100
3551,21,Inner Regional Australia,1,100
3555,21,Inner Regional Australia,1,100
3556,21,Inner Regional Australia,1,100
3557,21,Inner Regional Australia,1,100
3558,21,Inner Regional Australia,1,100
3559,21,Inner Regional Australia,1,100
3561,21,Inner Regional Australia,1,100
3562,21,Inner Regional Australia,1,100
3563,21,Inner Regional Australia,1,100
3565,21,Inner Regional Australia,1,100
3566,22,Outer Regional Australia,1,100
3567,22,Outer Regional Australia,1,99.9999967
3568,22,Outer Regional Australia,1,100
3572,21,Inner Regional Australia,1,100
3575,22,Outer Regional Australia,1,100
3576,22,Outer Regional Australia,1,100
3579,22,Outer Regional Australia,1,99.9999995
3581,22,Outer Regional Australia,1,100
3583,22,Outer Regional Australia,1,100
3584,22,Outer Regional Australia,1,100
3585,22,Outer Regional Australia,1,100
3586,22,Outer Regional Australia,1,100
3588,22,Outer Regional Australia,1,100
3589,22,Outer Regional Australia,1,100
3590,22,Outer Regional Australia,1,100
3591,22,Outer Regional Australia,1,100
3594,22,Outer Regional Australia,1,100
3595,22,Outer Regional Australia,1,100
3596,22,Outer Regional Australia,1,100
3597,22,Outer Regional Australia,1,100
3599,22,Outer Regional Australia,1,100
3607,21,Inner Regional Australia,1,100
3608,21,Inner Regional Australia,1,100
3610,21,Inner Regional Australia,1,100
3612,21,Inner Regional Australia,1,100
3614,21,Inner Regional Australia,1,100
3616,21,Inner Regional Australia,1,100
3617,21,Inner Regional Australia,1,100
3618,21,Inner Regional Australia,1,100
3620,21,Inner Regional Australia,1,100
3621,21,Inner Regional Australia,1,100
3622,21,Inner Regional Australia,1,100
3623,21,Inner Regional Australia,1,100
3624,21,Inner Regional Australia,1,100
3629,21,Inner Regional Australia,1,100
3630,21,Inner Regional Australia,1,100
3631,21,Inner Regional Australia,1,100
3633,21,Inner Regional Australia,1,100
3634,21,Inner Regional Australia,1,100
3635,21,Inner Regional Australia,1,100
3636,21,Inner Regional Australia,1,100
3640,21,Inner Regional Australia,1,100
3646,21,Inner Regional Australia,1,100
3647,21,Inner Regional Australia,1,100
3649,21,Inner Regional Australia,1,100
3658,21,Inner Regional Australia,1,100
3659,21,Inner Regional Australia,1,100
3660,21,Inner Regional Australia,1,100
3662,21,Inner Regional Australia,1,100
3663,21,Inner Regional Australia,1,100
3664,21,Inner Regional Australia,1,100
3665,21,Inner Regional Australia,1,100
3666,21,Inner Regional Australia,1,100
3670,21,Inner Regional Australia,1,100
3675,21,Inner Regional Australia,1,99.9999962
3677,21,Inner Regional Australia,1,100
3682,21,Inner Regional Australia,1,100
3683,21,Inner Regional Australia,1,100
3687,21,Inner Regional Australia,1,100
3688,21,Inner Regional Australia,1,100
3697,22,Outer Regional Australia,1,100
3698,22,Outer Regional Australia,1,100
3699,22,Outer Regional Australia,1,100
3704,22,Outer Regional Australia,1,100
3705,22,Outer Regional Australia,1,100
3708,22,Outer Regional Australia,1,100
3711,21,Inner Regional Australia,1,100
3713,22,Outer Regional Australia,1,100
3715,22,Outer Regional Australia,1,100
3717,21,Inner Regional Australia,1,100
3718,21,Inner Regional Australia,1,100
3722,22,Outer Regional Australia,1,100
3725,21,Inner Regional Australia,1,100
3726,21,Inner Regional Australia,1,100
3727,21,Inner Regional Australia,1,100
3728,21,Inner Regional Australia,1,100
3733,22,Outer Regional Australia,1,100
3735,21,Inner Regional Australia,1,100
3738,21,Inner Regional Australia,1,100
3739,21,Inner Regional Australia,1,100
3741,22,Outer Regional Australia,1,100
3744,22,Outer Regional Australia,1,100
3746,21,Inner Regional Australia,1,100
3747,21,Inner Regional Australia,1,100
3749,21,Inner Regional Australia,1,100
3750,20,Major Cities of Australia,1,100
3752,20,Major Cities of Australia,1,100
3753,21,Inner Regional Australia,1,100
3754,20,Major Cities of Australia,1,100
3758,21,Inner Regional Australia,1,100
3760,21,Inner Regional Australia,1,100
3761,21,Inner Regional Australia,1,100
3762,21,Inner Regional Australia,1,100
3763,21,Inner Regional Australia,1,100
3764,21,Inner Regional Australia,1,100
3765,20,Major Cities of Australia,1,100
3766,20,Major Cities of Australia,1,100
3767,20,Major Cities of Australia,1,100
3775,21,Inner Regional Australia,1,100
3777,21,Inner Regional Australia,1,100
3778,21,Inner Regional Australia,1,100
3779,21,Inner Regional Australia,1,100
3782,20,Major Cities of Australia,1,99.9999978
3785,20,Major Cities of Australia,1,100
3786,20,Major Cities of Australia,1,100
3787,20,Major Cities of Australia,1,100
3788,20,Major Cities of Australia,1,100
3789,20,Major Cities of Australia,1,100
3791,20,Major Cities of Australia,1,100
3792,20,Major Cities of Australia,1,100
3793,20,Major Cities of Australia,1,100
3795,20,Major Cities of Australia,1,100
3796,20,Major Cities of Australia,1,100
3797,21,Inner Regional Australia,1,100
3799,21,Inner Regional Australia,1,100
3800,20,Major Cities of Australia,1,100
3802,20,Major Cities of Australia,1,100
3803,20,Major Cities of Australia,1,100
3804,20,Major Cities of Australia,1,100
3805,20,Major Cities of Australia,1,100
3806,20,Major Cities of Australia,1,100
3807,20,Major Cities of Australia,1,100
3808,20,Major Cities of Australia,1,100
3812,21,Inner Regional Australia,1,100
3813,21,Inner Regional Australia,1,100
3814,21,Inner Regional Australia,1,100
3815,21,Inner Regional Australia,1,100
3816,21,Inner Regional Australia,1,100
3818,21,Inner Regional Australia,1,100
3820,21,Inner Regional Australia,1,100
3821,21,Inner Regional Australia,1,100
3822,21,Inner Regional Australia,1,100
3823,21,Inner Regional Australia,1,100
3824,21,Inner Regional Australia,1,100
3831,21,Inner Regional Australia,1,100
3832,21,Inner Regional Australia,1,100
3835,21,Inner Regional Australia,1,100
3840,21,Inner Regional Australia,1,100
3842,21,Inner Regional Australia,1,100
3850,21,Inner Regional Australia,1,100
3852,21,Inner Regional Australia,1,100
3854,21,Inner Regional Australia,1,100
3856,21,Inner Regional Australia,1,100
3857,21,Inner Regional Australia,1,100
3859,21,Inner Regional Australia,1,99.9999977
3864,22,Outer Regional Australia,1,100
3865,22,Outer Regional Australia,1,100
3869,21,Inner Regional Australia,1,100
3870,21,Inner Regional Australia,1,100
3871,21,Inner Regional Australia,1,100
3873,21,Inner Regional Australia,1,100
3874,22,Outer Regional Australia,1,100
3875,22,Outer Regional Australia,1,100
3878,22,Outer Regional Australia,1,100
3880,22,Outer Regional Australia,1,100
3882,22,Outer Regional Australia,1,100
3886,22,Outer Regional Australia,1,100
3887,22,Outer Regional Australia,1,100
3890,23,Remote Australia,1,100
3891,23,Remote Australia,1,100
3892,23,Remote Australia,1,100
3893,22,Outer Regional Australia,1,100
3895,22,Outer Regional Australia,1,100
3896,22,Outer Regional Australia,1,100
3898,22,Outer Regional Australia,1,100
3900,22,Outer Regional Australia,1,100
3902,22,Outer Regional Australia,1,100
3903,22,Outer Regional Australia,1,100
3904,22,Outer Regional Australia,1,100
3909,22,Outer Regional Australia,1,100
3910,20,Major Cities of Australia,1,100
3911,20,Major Cities of Australia,1,100
3912,20,Major Cities of Australia,1,100
3913,20,Major Cities of Australia,1,100
3915,20,Major Cities of Australia,1,100
3916,21,Inner Regional Australia,1,100
3918,20,Major Cities of Australia,1,100
3919,20,Major Cities of Australia,1,100
3920,20,Major Cities of Australia,1,100
3921,22,Outer Regional Australia,1,100
3922,21,Inner Regional Australia,1,100
3923,21,Inner Regional Australia,1,100
3925,21,Inner Regional Australia,1,100
3927,20,Major Cities of Australia,1,100
3929,21,Inner Regional Australia,1,100
3930,20,Major Cities of Australia,1,100
3931,20,Major Cities of Australia,1,100
3933,20,Major Cities of Australia,1,100
3934,20,Major Cities of Australia,1,100
3936,20,Major Cities of Australia,1,100
3937,21,Inner Regional Australia,1,99.9999987
3938,20,Major Cities of Australia,1,100
3940,20,Major Cities of Australia,1,100
3941,20,Major Cities of Australia,1,100
3942,20,Major Cities of Australia,1,100
3943,20,Major Cities of Australia,1,100
3944,20,Major Cities of Australia,1,100
3945,21,Inner Regional Australia,1,100
3946,21,Inner Regional Australia,1,100
3950,21,Inner Regional Australia,1,100
3951,21,Inner Regional Australia,1,100
3953,21,Inner Regional Australia,1,100
3954,21,Inner Regional Australia,1,100
3957,21,Inner Regional Australia,1,100
3958,21,Inner Regional Australia,1,100
3962,21,Inner Regional Australia,1,100
3964,21,Inner Regional Australia,1,100
3965,22,Outer Regional Australia,1,100
3975,20,Major Cities of Australia,1,100
3976,20,Major Cities of Australia,1,100
3979,21,Inner Regional Australia,1,100
3981,21,Inner Regional Australia,1,100
3984,21,Inner Regional Australia,1,100
3987,21,Inner Regional Australia,1,100
3988,21,Inner Regional Australia,1,100
3990,21,Inner Regional Australia,1,100
3991,21,Inner Regional Australia,1,100
3992,21,Inner Regional Australia,1,100
3995,21,Inner Regional Australia,1,100
3996,21,Inner Regional Australia,1,100
4000,30,Major Cities of Australia,1,100
4005,30,Major Cities of Australia,1,100
4006,30,Major Cities of Australia,1,100
4008,30,Major Cities of Australia,1,100
4009,30,Major Cities of Australia,1,100
4010,30,Major Cities of Australia,1,100
4011,30,Major Cities of Australia,1,100
4012,30,Major Cities of Australia,1,100
4013,30,Major Cities of Australia,1,100
4014,30,Major Cities of Australia,1,100
4017,30,Major Cities of Australia,1,100
4018,30,Major Cities of Australia,1,100
4019,30,Major Cities of Australia,1,100
4020,30,Major Cities of Australia,1,100
4021,30,Major Cities of Australia,1,100
4022,30,Major Cities of Australia,1,100
4025,33,Remote Australia,1,100
4029,30,Major Cities of Australia,1,100
4030,30,Major Cities of Australia,1,100
4031,30,Major Cities of Australia,1,100
4032,30,Major Cities of Australia,1,100
4034,30,Major Cities of Australia,1,100
4035,30,Major Cities of Australia,1,100
4036,30,Major Cities of Australia,1,100
4037,30,Major Cities of Australia,1,100
4051,30,Major Cities of Australia,1,100
4053,30,Major Cities of Australia,1,100
4054,30,Major Cities of Australia,1,100
4055,30,Major Cities of Australia,1,100
4059,30,Major Cities of Australia,1,100
4060,30,Major Cities of Australia,1,100
4061,30,Major Cities of Australia,1,100
4064,30,Major Cities of Australia,1,100
4065,30,Major Cities of Australia,1,100
4066,30,Major Cities of Australia,1,100
4067,30,Major Cities of Australia,1,100
4068,30,Major Cities of Australia,1,100
4070,30,Major Cities of Australia,1,100
4072,30,Major Cities of Australia,1,100
4073,30,Major Cities of Australia,1,100
4074,30,Major Cities of Australia,1,100
4075,30,Major Cities of Australia,1,100
4076,30,Major Cities of Australia,1,100
4077,30,Major Cities of Australia,1,100
4078,30,Major Cities of Australia,1,100
4101,30,Major Cities of Australia,1,100
4102,30,Major Cities of Australia,1,100
4103,30,Major Cities of Australia,1,100
4104,30,Major Cities of Australia,1,100
4105,30,Major Cities of Australia,1,100
4106,30,Major Cities of Australia,1,100
4107,30,Major Cities of Australia,1,100
4108,30,Major Cities of Australia,1,100
4109,30,Major Cities of Australia,1,100
4110,30,Major Cities of Australia,1,100
4111,30,Major Cities of Australia,1,100
4112,30,Major Cities of Australia,1,100
4113,30,Major Cities of Australia,1,100
4114,30,Major Cities of Australia,1,100
4115,30,Major Cities of Australia,1,100
4116,30,Major Cities of Australia,1,100
4117,30,Major Cities of Australia,1,100
4118,30,Major Cities of Australia,1,100
4119,30,Major Cities of Australia,1,100
4120,30,Major Cities of Australia,1,100
4121,30,Major Cities of Australia,1,100
4122,30,Major Cities of Australia,1,100
4123,30,Major Cities of Australia,1,100
4127,30,Major Cities of Australia,1,100
4128,30,Major Cities of Australia,1,100
4129,30,Major Cities of Australia,1,100
4130,30,Major Cities of Australia,1,100
4131,30,Major Cities of Australia,1,100
4132,30,Major Cities of Australia,1,100
4151,30,Major Cities of Australia,1,100
4152,30,Major Cities of Australia,1,100
4153,30,Major Cities of Australia,1,100
4154,30,Major Cities of Australia,1,100
4155,30,Major Cities of Australia,1,100
4156,30,Major Cities of Australia,1,100
4157,30,Major Cities of Australia,1,100
4158,30,Major Cities of Australia,1,100
4159,30,Major Cities of Australia,1,100
4160,30,Major Cities of Australia,1,100
4161,30,Major Cities of Australia,1,100
4163,30,Major Cities of Australia,1,100
4164,30,Major Cities of Australia,1,100
4169,30,Major Cities of Australia,1,100
4170,30,Major Cities of Australia,1,100
4171,30,Major Cities of Australia,1,100
4172,30,Major Cities of Australia,1,100
4173,30,Major Cities of Australia,1,100
4174,30,Major Cities of Australia,1,100
4178,30,Major Cities of Australia,1,100
4179,30,Major Cities of Australia,1,100
4205,30,Major Cities of Australia,1,100
4209,30,Major Cities of Australia,1,100
4212,30,Major Cities of Australia,1,100
4214,30,Major Cities of Australia,1,100
4215,30,Major Cities of Australia,1,100
4217,30,Major Cities of Australia,1,100
4218,30,Major Cities of Australia,1,100
4219,30,Major Cities of Australia,1,100
4220,30,Major Cities of Australia,1,100
4221,30,Major Cities of Australia,1,100
4222,30,Major Cities of Australia,1,100
4224,30,Major Cities of Australia,1,100
4225,30,Major Cities of Australia,1,100
4226,30,Major Cities of Australia,1,100
4227,30,Major Cities of Australia,1,100
4229,30,Major Cities of Australia,1,100
4230,30,Major Cities of Australia,1,100
4270,31,Inner Regional Australia,1,100
4275,31,Inner Regional Australia,1,100
4285,31,Inner Regional Australia,1,100
4300,30,Major Cities of Australia,1,100
4301,30,Major Cities of Australia,1,100
4303,30,Major Cities of Australia,1,100
4304,30,Major Cities of Australia,1,100
4307,31,Inner Regional Australia,1,100
4309,31,Inner Regional Australia,1,100
4310,31,Inner Regional Australia,1,100
4311,31,Inner Regional Australia,1,100
4312,31,Inner Regional Australia,1,100
4313,31,Inner Regional Australia,1,100
4340,31,Inner Regional Australia,1,100
4341,31,Inner Regional Australia,1,100
4342,31,Inner Regional Australia,1,100
4343,31,Inner Regional Australia,1,100
4344,31,Inner Regional Australia,1,100
4345,31,Inner Regional Australia,1,100
4346,31,Inner Regional Australia,1,100
4347,31,Inner Regional Australia,1,100
4350,31,Inner Regional Australia,1,100
4353,31,Inner Regional Australia,1,100
4354,31,Inner Regional Australia,1,100
4355,31,Inner Regional Australia,1,100
4356,31,Inner Regional Australia,1,100
4358,31,Inner Regional Australia,1,100
4359,31,Inner Regional Australia,1,100
4360,31,Inner Regional Australia,1,100
4361,31,Inner Regional Australia,1,100
4362,31,Inner Regional Australia,1,100
4363,31,Inner Regional Australia,1,100
4364,31,Inner Regional Australia,1,100
4371,31,Inner Regional Australia,1,100
4372,31,Inner Regional Australia,1,100
4373,32,Outer Regional Australia,1,100
4376,32,Outer Regional Australia,1,100
4378,32,Outer Regional Australia,1,100
4381,32,Outer Regional Australia,1,100
4382,32,Outer Regional Australia,1,100
4384,32,Outer Regional Australia,1,100
4387,32,Outer Regional Australia,1,100
4388,32,Outer Regional Australia,1,100
4390,32,Outer Regional Australia,1,100
4400,31,Inner Regional Australia,1,100
4401,31,Inner Regional Australia,1,100
4402,32,Outer Regional Australia,1,100
4403,31,Inner Regional Australia,1,100
4404,31,Inner Regional Australia,1,100
4407,32,Outer Regional Australia,1,100
4408,32,Outer Regional Australia,1,100
4410,32,Outer Regional Australia,1,99.999998
4411,32,Outer Regional Australia,1,100
4412,32,Outer Regional Australia,1,100
4416,32,Outer Regional Australia,1,100
4417,33,Remote Australia,1,100
4418,33,Remote Australia,1,100
4419,33,Remote Australia,1,100
4420,33,Remote Australia,1,100
4421,32,Outer Regional Australia,1,100
4422,33,Remote Australia,1,100
4423,33,Remote Australia,1,100
4426,33,Remote Australia,1,100
4427,33,Remote Australia,1,100
4428,33,Remote Australia,1,100
4461,33,Remote Australia,1,100
4462,33,Remote Australia,1,100
4467,34,Very Remote Australia,1,100
4468,34,Very Remote Australia,1,100
4470,34,Very Remote Australia,1,100
4472,34,Very Remote Australia,1,100
4474,34,Very Remote Australia,1,100
4475,34,Very Remote Australia,1,100
4477,34,Very Remote Australia,1,100
4478,34,Very Remote Australia,1,100
4479,34,Very Remote Australia,1,100
4480,34,Very Remote Australia,1,100
4481,34,Very Remote Australia,1,100
4482,34,Very Remote Australia,1,100
4486,34,Very Remote Australia,1,100
4487,33,Remote Australia,1,100
4489,34,Very Remote Australia,1,100
4490,34,Very Remote Australia,1,100
4491,34,Very Remote Australia,1,100
4492,34,Very Remote Australia,1,100
4493,34,Very Remote Australia,1,100
4494,33,Remote Australia,1,100
4496,33,Remote Australia,1,100
4497,33,Remote Australia,1,100
4501,30,Major Cities of Australia,1,100
4502,30,Major Cities of Australia,1,100
4503,30,Major Cities of Australia,1,100
4504,30,Major Cities of Australia,1,100
4505,30,Major Cities of Australia,1,100
4506,30,Major Cities of Australia,1,100
4507,31,Inner Regional Australia,1,100
4508,30,Major Cities of Australia,1,100
4509,30,Major Cities of Australia,1,100
4514,31,Inner Regional Australia,1,100
4516,30,Major Cities of Australia,1,100
4517,31,Inner Regional Australia,1,100
4518,31,Inner Regional Australia,1,100
4519,31,Inner Regional Australia,1,100
4521,31,Inner Regional Australia,1,100
4550,31,Inner Regional Australia,1,100
4551,30,Major Cities of Australia,1,99.9999998
4552,31,Inner Regional Australia,1,100
4556,30,Major Cities of Australia,1,100
4557,30,Major Cities of Australia,1,100
4558,30,Major Cities of Australia,1,100
4563,31,Inner Regional Australia,1,100
4564,30,Major Cities of Australia,1,100
4567,30,Major Cities of Australia,1,100
4568,31,Inner Regional Australia,1,100
4569,31,Inner Regional Australia,1,100
4571,31,Inner Regional Australia,1,100
4572,30,Major Cities of Australia,1,100
4574,31,Inner Regional Australia,1,100
4575,30,Major Cities of Australia,1,100
4580,31,Inner Regional Australia,1,100
4605,32,Outer Regional Australia,1,100
4606,32,Outer Regional Australia,1,100
4608,32,Outer Regional Australia,1,99.9999967
4611,32,Outer Regional Australia,1,100
4612,32,Outer Regional Australia,1,100
4613,32,Outer Regional Australia,1,100
4614,32,Outer Regional Australia,1,100
4625,32,Outer Regional Australia,1,100
4659,31,Inner Regional Australia,1,100
4660,31,Inner Regional Australia,1,100
4662,31,Inner Regional Australia,1,100
4674,32,Outer Regional Australia,1,100
4676,32,Outer Regional Australia,1,100
4677,32,Outer Regional Australia,1,100
4678,32,Outer Regional Australia,1,100
4695,32,Outer Regional Australia,1,100
4697,32,Outer Regional Australia,1,100
4699,32,Outer Regional Australia,1,100
4705,33,Remote Australia,1,100
4706,33,Remote Australia,1,100
4709,33,Remote Australia,1,100
4710,31,Inner Regional Australia,1,100
4711,31,Inner Regional Australia,1,100
4712,33,Remote Australia,1,100
4713,33,Remote Australia,1,100
4715,32,Outer Regional Australia,1,100
4716,32,Outer Regional Australia,1,100
4717,32,Outer Regional Australia,1,100
4723,33,Remote Australia,1,100
4724,34,Very Remote Australia,1,100
4725,34,Very Remote Australia,1,100
4726,34,Very Remote Australia,1,100
4727,34,Very Remote Australia,1,100
4728,34,Very Remote Australia,1,100
4730,34,Very Remote Australia,1,100
4731,34,Very Remote Australia,1,100
4732,34,Very Remote Australia,1,100
4733,34,Very Remote Australia,1,100
4735,34,Very Remote Australia,1,100
4736,34,Very Remote Australia,1,100
4737,32,Outer Regional Australia,1,100
4738,32,Outer Regional Australia,1,99.9999973
4739,32,Outer Regional Australia,1,100
4744,32,Outer Regional Australia,1,100
4746,33,Remote Australia,1,100
4751,32,Outer Regional Australia,1,100
4753,32,Outer Regional Australia,1,100
4754,32,Outer Regional Australia,1,100
4756,32,Outer Regional Australia,1,100
4757,32,Outer Regional Australia,1,100
4798,32,Outer Regional Australia,1,100
4799,32,Outer Regional Australia,1,100
4801,34,Very Remote Australia,1,100
4803,33,Remote Australia,1,100
4804,33,Remote Australia,1,100
4806,32,Outer Regional Australia,1,100
4808,32,Outer Regional Australia,1,100
4810,32,Outer Regional Australia,1,100
4811,32,Outer Regional Australia,1,100
4812,32,Outer Regional Australia,1,100
4813,32,Outer Regional Australia,1,100
4814,32,Outer Regional Australia,1,100
4815,32,Outer Regional Australia,1,100
4818,32,Outer Regional Australia,1,100
4819,32,Outer Regional Australia,1,100
4821,34,Very Remote Australia,1,100
4822,34,Very Remote Australia,1,100
4823,34,Very Remote Australia,1,100
4828,34,Very Remote Australia,1,100
4829,34,Very Remote Australia,1,100
4830,34,Very Remote Australia,1,100
4855,32,Outer Regional Australia,1,100
4856,32,Outer Regional Australia,1,100
4857,32,Outer Regional Australia,1,100
4858,32,Outer Regional Australia,1,100
4859,32,Outer Regional Australia,1,100
4860,32,Outer Regional Australia,1,100
4861,32,Outer Regional Australia,1,100
4865,32,Outer Regional Australia,1,100
4868,32,Outer Regional Australia,1,100
4869,32,Outer Regional Australia,1,100
4870,32,Outer Regional Australia,1,100
4874,34,Very Remote Australia,1,100
4875,34,Very Remote Australia,1,100
4876,34,Very Remote Australia,1,100
4877,32,Outer Regional Australia,1,100
4878,32,Outer Regional Australia,1,100
4879,32,Outer Regional Australia,1,100
4880,32,Outer Regional Australia,1,100
4881,32,Outer Regional Australia,1,100
4882,32,Outer Regional Australia,1,100
4883,32,Outer Regional Australia,1,100
4884,32,Outer Regional Australia,1,100
4885,32,Outer Regional Australia,1,100
4886,32,Outer Regional Australia,1,100
4887,32,Outer Regional Australia,1,100
4890,34,Very Remote Australia,1,100
4891,34,Very Remote Australia,1,100
5000,40,Major Cities of Australia,1,100
5005,40,Major Cities of Australia,1,100
5006,40,Major Cities of Australia,1,100
5007,40,Major Cities of Australia,1,100
5008,40,Major Cities of Australia,1,100
5009,40,Major Cities of Australia,1,100
5010,40,Major Cities of Australia,1,100
5011,40,Major Cities of Australia,1,100
5012,40,Major Cities of Australia,1,100
5013,40,Major Cities of Australia,1,100
5014,40,Major Cities of Australia,1,100
5015,40,Major Cities of Australia,1,100
5016,40,Major Cities of Australia,1,100
5017,40,Major Cities of Australia,1,100
5018,40,Major Cities of Australia,1,100
5019,40,Major Cities of Australia,1,100
5020,40,Major Cities of Australia,1,100
5021,40,Major Cities of Australia,1,100
5022,40,Major Cities of Australia,1,100
5023,40,Major Cities of Australia,1,100
5024,40,Major Cities of Australia,1,100
5025,40,Major Cities of Australia,1,100
5031,40,Major Cities of Australia,1,100
5032,40,Major Cities of Australia,1,100
5033,40,Major Cities of Australia,1,100
5034,40,Major Cities of Australia,1,100
5035,40,Major Cities of Australia,1,100
5037,40,Major Cities of Australia,1,100
5038,40,Major Cities of Australia,1,100
5039,40,Major Cities of Australia,1,100
5040,40,Major Cities of Australia,1,100
5041,40,Major Cities of Australia,1,100
5042,40,Major Cities of Australia,1,100
5043,40,Major Cities of Australia,1,100
5044,40,Major Cities of Australia,1,100
5045,40,Major Cities of Australia,1,100
5046,40,Major Cities of Australia,1,100
5047,40,Major Cities of Australia,1,100
5048,40,Major Cities of Australia,1,100
5049,40,Major Cities of Australia,1,100
5050,40,Major Cities of Australia,1,100
5051,40,Major Cities of Australia,1,100
5052,40,Major Cities of Australia,1,100
5061,40,Major Cities of Australia,1,100
5062,40,Major Cities of Australia,1,100
5063,40,Major Cities of Australia,1,100
5064,40,Major Cities of Australia,1,100
5065,40,Major Cities of Australia,1,100
5066,40,Major Cities of Australia,1,100
5067,40,Major Cities of Australia,1,100
5068,40,Major Cities of Australia,1,100
5069,40,Major Cities of Australia,1,100
5070,40,Major Cities of Australia,1,100
5072,40,Major Cities of Australia,1,100
5073,40,Major Cities of Australia,1,100
5074,40,Major Cities of Australia,1,100
5075,40,Major Cities of Australia,1,100
5081,40,Major Cities of Australia,1,100
5082,40,Major Cities of Australia,1,100
5083,40,Major Cities of Australia,1,100
5084,40,Major Cities of Australia,1,100
5085,40,Major Cities of Australia,1,100
5086,40,Major Cities of Australia,1,100
5087,40,Major Cities of Australia,1,100
5088,40,Major Cities of Australia,1,100
